cases,week,yr
52.34320039,27,1
54.61605065,28,1
54.52134856,29,1
44.88879268,30,1
47.17517182,31,1
44.68585962,32,1
44.57762866,33,1
44.48292657,34,1
51.54499702,35,1
60.9475621,36,1
51.32853509,37,1
53.60138536,38,1
60.66345581,39,1
65.30385843,40,1
81.86319606,41,1
85.34011581,42,1
98.35488933,43,1
110.1520645,44,1
129.1060122,45,1
142.093728,46,1
145.5571189,47,1
156.1772823,48,1
170.3690676,49,1
190.4864982,50,1
182.0444829,51,1
141.4714,52,1
154.4726446,1,2
156.7454949,2,2
151.8886303,3,2
156.5560907,4,2
182.6397532,5,2
180.1639699,6,2
193.1652146,7,2
220.4258888,8,2
215.5149088,9,2
193.9363602,10,2
195.0321987,11,2
198.4820607,12,2
200.754911,13,2
172.0872342,14,2
173.1830727,15,2
163.5640457,16,2
146.7882461,17,2
122.8692029,18,2
109.678554,19,2
83.37842957,20,2
64.23507766,21,2
71.2565615,22,2
52.14026733,23,2
48.44688565,24,2
45.97110233,25,2
